Name,Original Price,Discounted Price,Rating,Product URL,Image URL
VELDRESS Floral Print Crepe Empire Top,Rs. 1499,Rs. 794,"4
|
459",https://www.myntra.com/tops/veldress/veldress-floral-print-crepe-empire-top/30459840/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30459840/2024/8/13/113639cc-16ba-463a-83f7-555effcb1eab1723528285385-VELDRESS-Floral-Print-Crepe-Empire-Top-4861723528284920-1.jpg"
SALT ATTIRE Floral Print Top,Rs. 2450,Rs. 1470,"4.8
|
6",https://www.myntra.com/tops/salt+attire/salt-attire-floral-print-top/30683363/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/22/ufS4pPjY_b26a7f9a59cb4af4b476b4580ac521bd.jpg"
clobug Cowl Neck Top,Rs. 2288,Rs. 495,"4.3
|
219",https://www.myntra.com/tops/clobug/clobug-cowl-neck-top/33693895/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/19/uJlPrV6n_7a0e2e7b56ab4190b87712a4d03c404d.jpg"
Anouk Women Striped Shirt Style Top,Rs. 1999,Rs. 699,"4
|
117",https://www.myntra.com/tops/anouk/anouk-women-striped-self-design-cotton-shirt-style-top/31942126/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31942126/2024/12/12/cc875b25-021e-419a-9629-1ba7421637f91733992640855AnoukStripedCottonShirtStyleTop2.jpg"
Nike Monochrome Retro Polo Top,Rs. 2795,N/A,N/A,https://www.myntra.com/tops/nike/nike-sportswear-women-colourblocked-monochrome-retro-polo-top/35027691/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/18/ZPtCmuPx_5cabeaacd47a4fb5a793718ae3a7faab.jpg"
MYWISHBAG Women Striped Cap Sleeves Top,Rs. 1799,Rs. 683,"4.2
|
193",https://www.myntra.com/tops/mywishbag/mywishbag-women-striped-sweetheart-neck-cap-sleeves-top/31382801/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/22/pB33oSnm_effc7afc1dee457cba48d1a933804757.jpg"
KALINI Floral Print Mandarin Collar Top,Rs. 1998,Rs. 439,"4
|
385",https://www.myntra.com/tops/kalini/kalini-floral-print-mandarin-collar-top/30259529/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30259529/2025/3/8/094e3d5c-cfc3-4da0-9270-83fecb218cca1741412805324-KALINI-Floral-Print-Mandarin-Collar-Top-1991741412804655-1.jpg"
Nike Sportswear Women's Slim Top,Rs. 2795,N/A,N/A,https://www.myntra.com/tops/nike/nike-sportswear-womens-slim-retro-polo-top/35363970/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/5/hgPBYyxD_debe1ee224244c5d9befead3edda2915.jpg"
Anouk Women Printed Top,Rs. 1899,Rs. 683,"4.5
|
79",https://www.myntra.com/tops/anouk/anouk-women-abstract-printed-lapel-collar-cotton-top/31127299/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/26/DBigSkxM_5a8ac5ef17d745988dfbfd54fcca4c4d.jpg"
all about you Floral Print Shirt Style Top,Rs. 1699,Rs. 475,"3.9
|
357",https://www.myntra.com/tops/all+about+you/all-about-you-floral-print-cotton-shirt-style-top/26334824/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26334824/2024/2/21/3c777f62-f6ef-4e30-aa35-51d50b009fdb1708500712094-all-about-you-Women-Tops-9401708500711715-1.jpg"
FableStreet Women Striped Top,Rs. 2995,Rs. 2186,"4.5
|
14",https://www.myntra.com/tops/fablestreet/fablestreet-women-vertical-striped-round-neck-top/30899249/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/9/ieOSk5KQ_ead0abc6c91f40dfbebd7b5f100a0364.jpg"
